task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
77fdfe62,18.12,10,1071,16007,0.7
77fdfe62,10.65,10,1071,12206,0.9
eb5a1d5d,9.19,10,5619,10603,0.1
eb5a1d5d,7.37,10,5619,9224,0.3
eb5a1d5d,8.19,10,5619,9506,0.5
eb5a1d5d,7.07,10,5619,8690,0.7
eb5a1d5d,20.89,10,5619,11780,0.9
cbded52d,18.21,10,1623,14910,0.1
cbded52d,12.5,10,1623,18021,0.3
cbded52d,12.59,10,1623,11294,0.5
cbded52d,12.7,10,1623,10480,0.7
cbded52d,18.54,10,1623,15593,0.9
57aa92db,18.99,10,6821,19763,0.1
57aa92db,18.53,10,6821,17580,0.3
57aa92db,18.65,10,6821,13018,0.5
57aa92db,18.94,10,6821,14038,0.7
57aa92db,18.53,10,6821,12482,0.9
6ecd11f4,18.3,10,5751,15199,0.1
6ecd11f4,18.61,10,5751,18079,0.3
6ecd11f4,18.83,10,5751,13253,0.5
6ecd11f4,18.74,10,5751,15945,0.7
6ecd11f4,19.46,10,5751,16073,0.9
49d1d64f,8.97,10,711,12831,0.1
49d1d64f,9.32,10,711,11611,0.3
49d1d64f,7.99,10,711,11528,0.5
49d1d64f,9.21,10,711,11652,0.7
49d1d64f,17.74,10,711,11876,0.9
c8cbb738,13.55,10,1788,10856,0.1
c8cbb738,14.71,10,1788,12771,0.3
c8cbb738,18.19,10,1788,16335,0.5
c8cbb738,17.89,10,1788,15472,0.7
c8cbb738,11.67,10,1788,11093,0.9
834ec97d,8.52,10,1161,10880,0.1
834ec97d,13.81,10,1161,14275,0.3
834ec97d,14.45,10,1161,15091,0.5
834ec97d,16.79,10,1161,15179,0.7
834ec97d,14.54,10,1161,14044,0.9
1190e5a7,6.39,10,3828,8143,0.1
1190e5a7,26.93,10,3828,10763,0.3
1190e5a7,17.92,10,3828,10188,0.5
1190e5a7,18.43,10,3828,10272,0.7
1190e5a7,20.48,10,3828,13136,0.9
aabf363d,8.39,10,1045,7832,0.1
aabf363d,9.94,10,1045,9456,0.3
aabf363d,9.83,10,1045,7326,0.5
aabf363d,11.06,10,1045,10859,0.7
aabf363d,12.27,10,1045,9334,0.9
4347f46a,18.33,10,3327,18246,0.1
4347f46a,18.42,10,3327,14801,0.3
4347f46a,18.84,10,3327,14979,0.5
4347f46a,19.05,10,3327,21200,0.7
4347f46a,18.32,10,3327,16725,0.9
83302e8f,19.0,10,11139,11873,0.1
83302e8f,12.24,10,11139,10767,0.3
83302e8f,19.02,10,11139,11247,0.5
83302e8f,13.23,10,11139,12800,0.7
83302e8f,18.85,10,11139,14433,0.9
6773b310,18.88,10,2045,23287,0.1
6773b310,18.21,10,2045,22818,0.3
6773b310,18.05,10,2045,20529,0.5
6773b310,16.71,10,2045,17438,0.7
6773b310,18.72,10,2045,17953,0.9
44d8ac46,10.63,10,3941,8856,0.1
44d8ac46,20.44,10,3941,12657,0.3
44d8ac46,20.28,10,3941,14200,0.5
44d8ac46,19.15,10,3941,21599,0.7
44d8ac46,18.22,10,3941,12779,0.9
67385a82,11.45,10,959,13898,0.1
67385a82,11.69,10,959,13533,0.3
67385a82,13.81,10,959,13363,0.5
67385a82,9.22,10,959,11721,0.7
67385a82,11.06,10,959,12617,0.9
a416b8f3,7.12,10,804,7174,0.1
a416b8f3,9.11,10,804,6799,0.3
a416b8f3,6.86,10,804,6874,0.5
a416b8f3,7.78,10,804,5528,0.7
a416b8f3,5.33,10,804,6232,0.9
1b2d62fb,11.88,10,1249,14932,0.1
1b2d62fb,15.8,10,1249,18165,0.3
1b2d62fb,18.5,10,1249,17268,0.5
1b2d62fb,18.33,10,1249,16171,0.7
1b2d62fb,14.54,10,1249,16893,0.9
d511f180,10.95,10,729,13992,0.1
d511f180,8.7,10,729,11792,0.3
d511f180,8.6,10,729,11381,0.5
d511f180,9.01,10,729,11003,0.7
d511f180,8.29,10,729,10406,0.9
09629e4f,18.85,10,3389,21800,0.1
09629e4f,18.58,10,3389,22247,0.3
09629e4f,18.84,10,3389,21305,0.5
09629e4f,18.33,10,3389,17839,0.7
09629e4f,19.97,10,3389,26294,0.9
539a4f51,12.95,10,1596,13151,0.1
539a4f51,18.43,10,1596,17321,0.3
539a4f51,14.13,10,1596,16059,0.5
539a4f51,18.02,10,1596,12830,0.7
539a4f51,18.54,10,1596,22383,0.9
810b9b61,19.23,10,3657,30000,0.1
810b9b61,19.03,10,3657,27847,0.3
810b9b61,17.92,10,3657,14180,0.5
810b9b61,19.97,10,3657,18603,0.7
810b9b61,20.8,10,3657,23654,0.9
264363fd,20.01,10,16671,16764,0.1
264363fd,14.94,10,16671,9483,0.3
264363fd,21.1,10,16671,14573,0.5
264363fd,20.28,10,16671,13528,0.7
264363fd,20.48,10,16671,14907,0.9
dc0a314f,23.36,10,3000,13082,0.1
dc0a314f,18.33,10,3000,16876,0.3
dc0a314f,18.23,10,3000,21931,0.5
dc0a314f,18.12,10,3000,16629,0.7
dc0a314f,18.33,10,3000,19222,0.9
7b7f7511,12.57,10,750,8018,0.1
7b7f7511,5.28,10,750,5674,0.3
7b7f7511,5.36,10,750,5557,0.5
7b7f7511,6.76,10,750,7856,0.7
7b7f7511,3.92,10,750,5143,0.9
d9fac9be,11.2,10,1514,13164,0.1
d9fac9be,8.18,10,1514,8734,0.3
d9fac9be,10.97,10,1514,10626,0.5
d9fac9be,10.34,10,1514,10138,0.7
d9fac9be,11.88,10,1514,13689,0.9
d90796e8,13.16,10,1071,15248,0.1
d90796e8,15.36,10,1071,10999,0.3
d90796e8,16.89,10,1071,13022,0.5
d90796e8,14.24,10,1071,12516,0.7
d90796e8,13.93,10,1071,12471,0.9
941d9a10,6.66,10,2271,7999,0.1
941d9a10,17.77,10,2271,16533,0.3
941d9a10,15.72,10,2271,14017,0.5
941d9a10,18.54,10,2271,17146,0.7
941d9a10,16.79,10,2271,20694,0.9
a79310a0,6.13,10,825,7538,0.1
a79310a0,10.24,10,825,8810,0.3
a79310a0,10.85,10,825,9788,0.5
a79310a0,10.65,10,825,10680,0.7
a79310a0,8.5,10,825,8733,0.9
ce9e57f2,15.7,10,1767,18792,0.1
ce9e57f2,16.28,10,1767,17828,0.3
ce9e57f2,24.89,10,1767,17452,0.5
ce9e57f2,17.92,10,1767,15984,0.7
ce9e57f2,17.41,10,1767,14544,0.9
b8825c91,18.27,10,6629,14329,0.1
b8825c91,19.31,10,6629,21145,0.3
b8825c91,19.55,10,6629,26122,0.5
b8825c91,18.76,10,6629,11179,0.7
b8825c91,18.63,10,6629,20921,0.9
eb281b96,11.39,10,1936,11877,0.1
eb281b96,12.49,10,1936,7300,0.3
