task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
746b3537,8.09,10,594,4953,0.6
746b3537,9.01,10,594,5832,0.6
746b3537,8.3,10,594,5252,0.7
746b3537,9.21,10,594,5454,0.8
746b3537,11.06,10,594,5776,0.9
025d127b,20.57,10,1494,10964,0.1
025d127b,17.4,10,1494,5793,0.2
025d127b,11.16,10,1494,4682,0.3
025d127b,17.53,10,1494,5141,0.5
025d127b,28.86,10,1494,6362,0.5
025d127b,19.46,10,1494,7358,0.6
025d127b,18.84,10,1494,7237,0.6
025d127b,19.87,10,1494,7244,0.7
025d127b,13.31,10,1494,4602,0.8
025d127b,20.68,10,1494,6365,0.9
54d82841,8.99,10,1064,5030,0.1
54d82841,8.1,10,1064,4896,0.2
54d82841,10.13,10,1064,5520,0.3
54d82841,8.16,10,1064,4903,0.5
54d82841,9.56,10,1064,5038,0.5
54d82841,6.65,10,1064,4694,0.6
54d82841,7.58,10,1064,4624,0.6
54d82841,8.7,10,1064,5245,0.7
54d82841,9.52,10,1064,4737,0.8
54d82841,11.57,10,1064,5313,0.9
f76d97a5,13.55,10,674,8098,0.1
f76d97a5,11.57,10,674,6787,0.2
f76d97a5,15.87,10,674,6349,0.3
f76d97a5,12.29,10,674,7119,0.5
f76d97a5,11.78,10,674,5906,0.5
f76d97a5,10.34,10,674,6901,0.6
f76d97a5,10.03,10,674,6409,0.6
f76d97a5,11.16,10,674,5225,0.7
f76d97a5,12.92,10,674,6000,0.8
f76d97a5,10.74,10,674,6588,0.9
890034e9,19.23,10,8258,8824,0.1
890034e9,20.38,10,8258,7386,0.2
890034e9,16.38,10,8258,4990,0.3
890034e9,16.79,10,8258,6597,0.5
890034e9,10.85,10,8258,5018,0.5
890034e9,35.74,10,8258,10513,0.6
890034e9,11.47,10,8258,5452,0.6
890034e9,15.36,10,8258,6634,0.7
890034e9,17.1,10,8258,6414,0.8
890034e9,16.49,10,8258,6811,0.9
3bd67248,7.96,10,2018,5205,0.1
3bd67248,10.75,10,2018,5352,0.2
3bd67248,11.88,10,2018,5813,0.3
3bd67248,34.66,10,2018,8865,0.5
3bd67248,13.58,10,2018,5021,0.5
3bd67248,10.44,10,2018,5564,0.6
3bd67248,6.97,10,2018,5028,0.6
3bd67248,42.07,10,2018,9760,0.7
3bd67248,9.53,10,2018,5406,0.8
3bd67248,7.88,10,2018,4727,0.9
f35d900a,39.04,10,6202,10221,0.1
f35d900a,38.5,10,6202,10362,0.2
f35d900a,34.5,10,6202,11353,0.3
f35d900a,14.13,10,6202,7899,0.5
f35d900a,37.58,10,6202,8982,0.5
f35d900a,43.52,10,6202,16950,0.6
f35d900a,17.3,10,6202,7786,0.6
f35d900a,13.29,10,6202,6525,0.7
f35d900a,39.65,10,6202,11264,0.8
f35d900a,38.3,10,6202,9635,0.9
9dfd6313,19.25,10,620,7885,0.1
9dfd6313,12.89,10,620,7775,0.2
9dfd6313,15.98,10,620,7218,0.3
9dfd6313,30.53,10,620,9782,0.5
9dfd6313,23.46,10,620,8993,0.5
9dfd6313,19.32,10,620,8851,0.6
9dfd6313,22.33,10,620,9101,0.6
9dfd6313,20.68,10,620,8421,0.7
9dfd6313,16.39,10,620,8918,0.8
9dfd6313,13.11,10,620,6454,0.9
25ff71a9,10.95,10,550,5312,0.1
25ff71a9,10.55,10,550,4916,0.2
25ff71a9,9.31,10,550,5890,0.3
25ff71a9,8.81,10,550,6114,0.5
25ff71a9,10.03,10,550,5153,0.5
25ff71a9,8.5,10,550,4869,0.6
25ff71a9,8.91,10,550,4828,0.6
25ff71a9,7.78,10,550,5039,0.7
25ff71a9,11.06,10,550,5303,0.8
25ff71a9,10.72,10,550,5537,0.9
ae3edfdc,10.44,10,4370,5968,0.1
ae3edfdc,12.9,10,4370,5404,0.2
ae3edfdc,38.84,10,4370,10267,0.3
ae3edfdc,27.93,10,4370,7974,0.5
ae3edfdc,40.35,10,4370,9968,0.5
ae3edfdc,15.56,10,4370,6558,0.6
ae3edfdc,11.98,10,4370,5774,0.6
ae3edfdc,39.32,10,4370,8564,0.7
ae3edfdc,14.34,10,4370,6551,0.8
ae3edfdc,13.21,10,4370,6056,0.9
d4a91cb9,11.83,10,2360,7129,0.1
d4a91cb9,11.26,10,2360,6664,0.2
d4a91cb9,11.47,10,2360,6780,0.3
d4a91cb9,11.26,10,2360,6122,0.5
d4a91cb9,12.9,10,2360,6238,0.5
d4a91cb9,10.65,10,2360,6084,0.6
d4a91cb9,32.25,10,2360,8505,0.6
d4a91cb9,12.2,10,2360,6869,0.7
d4a91cb9,10.64,10,2360,6193,0.8
d4a91cb9,11.06,10,2360,7176,0.9
9f236235,11.31,10,2972,8756,0.1
9f236235,14.34,10,2972,6483,0.2
9f236235,13.62,10,2972,8394,0.3
9f236235,10.04,10,2972,7012,0.5
9f236235,39.12,10,2972,12752,0.5
9f236235,15.97,10,2972,8132,0.6
9f236235,38.71,10,2972,10290,0.6
9f236235,11.98,10,2972,6325,0.7
9f236235,14.03,10,2972,7066,0.8
9f236235,12.7,10,2972,7339,0.9
4be741c5,5.33,10,1508,3112,0.1
4be741c5,8.41,10,1508,3648,0.2
4be741c5,7.05,10,1508,4009,0.3
4be741c5,5.22,10,1508,3453,0.5
4be741c5,5.74,10,1508,3462,0.5
4be741c5,6.96,10,1508,3838,0.6
4be741c5,6.0,10,1508,3715,0.6
